path	rc	class	elapsed_s	primary_import	tag
tests/known_failures/ekan_fixed_point_edge_native_v2_probe.sio	0	PASS	1	(no-import)	known-failure: fixed-point E-KAN edge currently segfaults in generated native-v2 ELF
tests/known_failures/ekan_fixed_point_hidden_compact_native_v2_probe.sio	0	PASS	1	(no-import)	known-failure: compact fixed-point E-KAN hidden node currently segfaults in generated native-v2 ELF
tests/known_failures/ekan_fixed_point_hidden_native_v2_blocker.sio	0	PASS	1	(no-import)	known-failure: native-v2 build exits 139 for the verbose hidden-node E-KAN diagnostic shape
tests/known_failures/ekan_fixed_point_linear_readout_compact_native_v2_probe.sio	0	PASS	0	(no-import)	known-failure: compact fixed-point E-KAN linear readout currently segfaults in generated native-v2 ELF
tests/known_failures/ekan_fixed_point_three_input_two_hidden_native_v2_probe.sio	0	PASS	1	(no-import)	known-failure: compact fixed-point E-KAN three-input two-hidden witness currently segfaults in generated native-v2 ELF
tests/known_failures/ekan_fixed_point_two_hidden_native_v2_probe.sio	0	PASS	1	(no-import)	known-failure: compact fixed-point E-KAN two-hidden witness currently segfaults in generated native-v2 ELF
tests/known_failures/zero_event_stdlib_native_v2_probe.sio	0	PASS	1	epistemic::zero_event	known-failure: default Madaros emits an ELF that segfaults for the imported zero_event aggregate-return surface; lean_single prints ZERO_EVENT_STDLIB PASS
tests/run-pass/cardinality_colouring_manifest_tiny.sio	0	PASS	1	theorem::cardinality	known-failure: imported theorem::cardinality manifest path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/cardinality_erdos_scope_gate_imported.sio	0	PASS	1	theorem::cardinality	known-failure: imported theorem::cardinality scope gate typechecks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/div_witness_i256_imported_tiny.sio	0	PASS	1	theorem::div_witness	known-failure: imported theorem::div_witness i256 runtime currently exits 139 across the multimodule native boundary; module check and self-contained Lorenz gates cover the witness arithmetic
tests/run-pass/div_witness_i64_imported_tiny.sio	0	PASS	1	theorem::div_witness	known-failure: imported theorem::div_witness runtime currently exits 139 in Madaros imported/native lowering; self-contained div_witness_checker_tiny covers the checker logic
tests/run-pass/div_witness_projection3_directed_round_imported.sio	0	PASS	1	theorem::div_witness	known-failure: imported theorem::div_witness directed-round projection3 i256 runtime currently exits 139 across the multimodule native boundary
tests/run-pass/div_witness_projection3_imported.sio	0	PASS	0	theorem::div_witness	known-failure: imported theorem::div_witness projection3 i256 runtime currently exits 139 across the multimodule native boundary
tests/run-pass/div_witness_projection3_interval_containment_imported.sio	0	PASS	2	theorem::div_witness	known-failure: imported theorem::div_witness interval-containment projection3 i256 runtime currently exits 139 across the multimodule native boundary
tests/run-pass/erdos_sat_smt_unsat_scope_tiny.sio	0	PASS	1	theorem::erdos_scope	known-failure: imported theorem::erdos_scope API typechecks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/imported_runtime_lift_contract_imported.sio	0	PASS	1	safety::imported_runtime_lift_contract	known-failure: imported safety::imported_runtime_lift_contract API typechecks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/kernel_replay_evidence_router_imported.sio	0	PASS	1	safety::kernel_replay_evidence_router	known-failure: imported safety::kernel_replay_evidence_router API typechecks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_explicit_enclosure_imported.sio	0	PASS	5	systems::ball_fixed	known-failure: imported systems::ball_fixed explicit-enclosure path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_policy_chain_imported.sio	0	PASS	5	systems::ball_fixed	known-failure: imported systems::ball_fixed policy-chain path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_portfolio_v17_readiness_imported.sio	0	PASS	7	systems::ball_fixed	known-failure: imported systems/theorem ball-fixed readiness path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_portfolio_v20_precision_ladder_imported.sio	0	PASS	6	systems::ball_fixed	known-failure: imported systems/theorem v20 wide-precision ladder path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_portfolio_v21_step_policy_imported.sio	0	PASS	7	systems::ball_fixed	known-failure: imported systems/theorem v21 step-policy path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_quality_profile_imported.sio	0	PASS	5	systems::ball_fixed	known-failure: imported systems quality-profile path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_radius_budget_imported.sio	0	PASS	5	systems::ball_fixed	known-failure: imported systems::ball_fixed radius-budget path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/lorenz_ball_fixed_stdlib_tiny.sio	0	PASS	6	systems::ball_fixed	known-failure: imported systems::ball_fixed path checks, but current Madaros imported/native lowering exits 139 at runtime
