path	family	version	bytes	known_failure	block_reason	path_class	kf_note
tests/run-pass/lorenz_i256_portfolio_v16_composed_imported.sio	lorenz_i256_portfolio_composed	16	3203	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: composed imported systems/theorem path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_erdos_scope_v30_imported.sio	erdos_scope	30	1725	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio scope audit typechecks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_explicit_enclosure_v27_imported.sio	lorenz_ball_fixed_explicit_enclosure	27	2714	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v27 Lorenz explicit-enclosure path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_policy_chain_v24_imported.sio	lorenz_ball_fixed_policy_chain	24	2896	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v24 policy-chain path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_radius_budget_v19_imported.sio	lorenz_ball_fixed_radius_budget	19	2266	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v19 Lorenz radius-budget path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_step_policy_guard_v23_imported.sio	lorenz_ball_fixed_step_policy_guard	23	2696	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v23 guard-band step-policy path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_step_policy_margin_v22_imported.sio	lorenz_ball_fixed_step_policy_margin	22	2725	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v22 step-policy margin path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_step_policy_v21_imported.sio	lorenz_ball_fixed_step_policy	21	2671	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v21 step-policy path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_ball_fixed_v17_imported.sio	lorenz_ball_fixed	17	2470	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v17 path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_i256_ball_fixed_bridge_v29_imported.sio	lorenz_i256_ball_fixed_bridge	29	2968	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio v29 Lorenz i256 bridge path checks, but current Madaros imported/native lowering exits 139 at runtime
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_axis_arithmetic_bundle_v164_imported.sio	lorenz_i256_cover_child0_axis_arithmetic_bundle	164	2193	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 axis arithmetic bundle v164 API typechecks, but current Madaros imported/native lowering
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_axis_arithmetic_readiness_v165_imported.sio	lorenz_i256_cover_child0_axis_arithmetic_readiness	165	2381	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 axis arithmetic readiness v165 API typechecks, but current Madaros imported/native lower
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_axis_witness_bundle_v160_imported.sio	lorenz_i256_cover_child0_axis_witness_bundle	160	2110	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 axis witness bundle v160 API typechecks, but current Madaros imported/native lowering ex
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_containment_obligation_v155_imported.sio	lorenz_i256_cover_child0_containment_obligation	155	2337	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 containment obligation v155 API typechecks, but current Madaros imported/native lowering
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_discharge_preflight_v167_imported.sio	lorenz_i256_cover_child0_discharge_preflight	167	2373	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 discharge preflight v167 API typechecks, but current Madaros imported/native lowering ex
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_local_flowpipe_preflight_v152_imported.sio	lorenz_i256_cover_child0_local_flowpipe_preflight	152	2165	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 local-flowpipe preflight v152 API typechecks, but current Madaros imported/native loweri
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_local_flowpipe_proof_skeleton_v153_imported.sio	lorenz_i256_cover_child0_local_flowpipe_proof_skeleton	153	2278	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 local-flowpipe proof skeleton v153 API typechecks, but current Madaros imported/native l
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_local_flowpipe_replay_executor_v154_imported.sio	lorenz_i256_cover_child0_local_flowpipe_replay_executor	154	2354	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 local-flowpipe replay executor v154 API typechecks, but current Madaros imported/native 
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_obligation_seed_v151_imported.sio	lorenz_i256_cover_child0_obligation_seed	151	2167	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 obligation seed v151 API typechecks, but current Madaros imported/native lowering exits 
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_validation_core_v166_imported.sio	lorenz_i256_cover_child0_validation_core	166	2358	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 validation core v166 API typechecks, but current Madaros imported/native lowering exits 
tests/run-pass/solver_portfolio_lorenz_i256_cover_child0_validation_guard_v156_imported.sio	lorenz_i256_cover_child0_validation_guard	156	2313	yes	import_stdlib_theorem_portfolio_over_source_byte_wall	split_generated_module	//@ known-failure: imported theorem::portfolio Lorenz i256 cover child0 validation guard v156 API typechecks, but current Madaros imported/native lowering exits
