epoch	t_rel_s	assoc
0	-89.843750	0.0064339517
1	-89.531250	0.0102833384
2	-89.218750	0.0066589766
3	-88.906250	0.0068011211
4	-88.593750	0.0064375564
5	-88.281250	0.0070335430
6	-87.968750	0.0069216151
7	-87.656250	0.0069263116
8	-87.343750	0.0065458397
9	-87.031250	0.0054773512
10	-86.718750	0.0065060580
11	-86.406250	0.0069766388
12	-86.093750	0.0067731590
13	-85.781250	0.0065008224
14	-85.468750	0.0065879770
15	-85.156250	0.0079211869
16	-84.843750	0.0077178906
17	-84.531250	0.0071547683
18	-84.218750	0.0071986442
19	-83.906250	0.0066509232
20	-83.593750	0.0074785373
21	-83.281250	0.0057433994
22	-82.968750	0.0059130474
23	-82.656250	0.0070234267
24	-82.343750	0.0074362103
25	-82.031250	0.0072229473
26	-81.718750	0.0063686650
27	-81.406250	0.0056001890
28	-81.093750	0.0074266649
29	-80.781250	0.0075043995
30	-80.468750	0.0065968221
31	-80.156250	0.0054372840
32	-79.843750	0.0060302929
33	-79.531250	0.0064643598
34	-79.218750	0.0071564243
35	-78.906250	0.0071774861
36	-78.593750	0.0066108888
37	-78.281250	0.0082303181
38	-77.968750	0.0067895189
39	-77.656250	0.0094955354
40	-77.343750	0.0102293174
41	-77.031250	0.0085491961
42	-76.718750	0.0068378219
43	-76.406250	0.0099314046
44	-76.093750	0.0070581804
45	-75.781250	0.0076660457
46	-75.468750	0.0071615321
47	-75.156250	0.0072714489
48	-74.843750	0.0076071374
49	-74.531250	0.0084857798
50	-74.218750	0.0100430803
51	-73.906250	0.0076421495
52	-73.593750	0.0071466160
53	-73.281250	0.0084581580
54	-72.968750	0.0088387401
55	-72.656250	0.0092377550
56	-72.343750	0.0120895229
57	-72.031250	0.0080971919
58	-71.718750	0.0131163598
59	-71.406250	0.0124442133
60	-71.093750	0.0124365206
61	-70.781250	0.0090884367
62	-70.468750	0.0079847208
63	-70.156250	0.0114337415
64	-69.843750	0.0100404044
65	-69.531250	0.0102157970
66	-69.218750	0.0090991230
67	-68.906250	0.0083528850
68	-68.593750	0.0078511149
69	-68.281250	0.0088267340
70	-67.968750	0.0123763001
71	-67.656250	0.0101527912
72	-67.343750	0.0122777011
73	-67.031250	0.0074845869
74	-66.718750	0.0125432812
75	-66.406250	0.0109741233
76	-66.093750	0.0081016077
77	-65.781250	0.0097866850
78	-65.468750	0.0105762522
79	-65.156250	0.0108129856
80	-64.843750	0.0078483670
81	-64.531250	0.0071826768
82	-64.218750	0.0133373676
83	-63.906250	0.0109041841
84	-63.593750	0.0079229781
85	-63.281250	0.0074345033
86	-62.968750	0.0071989798
87	-62.656250	0.0090883200
88	-62.343750	0.0089811759
89	-62.031250	0.0108196888
90	-61.718750	0.0097861518
91	-61.406250	0.0090149228
92	-61.093750	0.0093816800
93	-60.781250	0.0071792616
94	-60.468750	0.0095969877
95	-60.156250	0.0080487585
96	-59.843750	0.0070198611
97	-59.531250	0.0096735031
98	-59.218750	0.0065932230
99	-58.906250	0.0074250508
100	-58.593750	0.0092632458
101	-58.281250	0.0103388781
102	-57.968750	0.0067114471
103	-57.656250	0.0069374386
104	-57.343750	0.0110418383
105	-57.031250	0.0116094517
106	-56.718750	0.0095752296
107	-56.406250	0.0073248131
108	-56.093750	0.0080392281
109	-55.781250	0.0063825521
110	-55.468750	0.0072747503
111	-55.156250	0.0087669632
112	-54.843750	0.0091167576
